"id","author","description","guid","to","likecount","link","pubdate","replycount","title","authorChannelUrl"
"15","@ryanbaskara9560","jir kirain starlink   starbucks kelilink ","UgxyvHt2YkEXrBquDfV4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgxyvHt2YkEXrBquDfV4AaABAg","5/28/2024 23:33","0","jir kirain starlink   starbucks kelilink ","http://www.youtube.com/@ryanbaskara9560"
"16","@Poerto","SiapÂ² Indihome dan TelkomðŸ˜ˆðŸ˜ˆ","UgwaImKCQjTZ_sdIwhp4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwaImKCQjTZ_sdIwhp4AaABAg","5/28/2024 23:23","0","SiapÂ² Indihome dan TelkomðŸ˜ˆðŸ˜ˆ","http://www.youtube.com/@Poerto"
"17","@cikukcikukukchenel8887","unboxing mas HP opo a 60 tahan banting","UgyBvrUxD1r62OwEHh94AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyBvrUxD1r62OwEHh94AaABAg","5/28/2024 23:17","0","unboxing mas HP opo a 60 tahan banting","http://www.youtube.com/@cikukcikukukchenel8887"
"18","@MP_Property","semoga indonesia bisa buat juga biar bisa cuma bayar 100k per bulanðŸ˜… dengan spek sama","UgzStGFTFDS9WfaGIM14AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgzStGFTFDS9WfaGIM14AaABAg","5/28/2024 23:07","0","semoga indonesia bisa buat juga biar bisa cuma bayar 100k per bulanðŸ˜… dengan spek sama","http://www.youtube.com/@MP_Property"
"19","@agungprastowo1708","gaada yg bahas powerbanknya kah?","UgxEjShF2payHlV1S5x4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgxEjShF2payHlV1S5x4AaABAg","5/28/2024 22:41","0","gaada yg bahas powerbanknya kah?","http://www.youtube.com/@agungprastowo1708"
"20","@SenoMizwar","Starlink di taro tanah anjirrrðŸ˜‚","UgykLxvQri1xzFei8vd4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgykLxvQri1xzFei8vd4AaABAg","5/28/2024 22:08","0","Starlink di taro tanah anjirrrðŸ˜‚","http://www.youtube.com/@SenoMizwar"
"21","@rianjayaekasaputra","Jadi keinget sm boss darling101, trs tim fe yg cb riset teknologi ini trs meninggal tragis","Ugzii8db6lXXxTvIRER4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugzii8db6lXXxTvIRER4AaABAg","5/28/2024 21:57","0","Jadi keinget sm boss darling101, trs tim fe yg cb riset teknologi ini trs meninggal tragis","http://www.youtube.com/@rianjayaekasaputra"
"22","@nyektijoe4590","yang diplosok,atas gunung,tengah hutan,dipadang gurun pasir pake ini joss","UgzSZ9Rdt2C8MCmhT-x4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgzSZ9Rdt2C8MCmhT-x4AaABAg","5/28/2024 21:50","0","yang diplosok,atas gunung,tengah hutan,dipadang gurun pasir pake ini joss","http://www.youtube.com/@nyektijoe4590"
"23","@ev_r13","Indihome pun bangkrut liat iniðŸ˜‚","UgwsJZ9iYn87Sghkatd4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwsJZ9iYn87Sghkatd4AaABAg","5/28/2024 21:41","0","Indihome pun bangkrut liat iniðŸ˜‚","http://www.youtube.com/@ev_r13"
"24","@mencarikeadilan8566","Serba di banting ya bangðŸ¤£ðŸ¤£ðŸ¤£","Ugw2E8JThbJGhDnFBbx4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugw2E8JThbJGhDnFBbx4AaABAg","5/28/2024 21:37","0","Serba di banting ya bangðŸ¤£ðŸ¤£ðŸ¤£","http://www.youtube.com/@mencarikeadilan8566"
